capa,cabeza,bits,ratio_q1,veredicto
4,3,4,1.0085051041405504,estrecho
4,3,8,1.0103047197193107,estrecho
4,4,4,0.9690584985520422,estrecho
4,4,8,0.9782108648555666,estrecho
4,5,4,1.0155417077568958,estrecho
4,5,8,1.0115165486560198,estrecho
4,6,4,1.0045664709348976,estrecho
4,6,8,1.003451254913549,estrecho
4,7,4,0.9656241630373944,estrecho
4,7,8,0.9642498676739389,estrecho
4,8,4,1.0050674288886003,estrecho
4,8,8,1.0038869351575732,estrecho
4,9,4,0.9628036170162946,estrecho
4,9,8,0.9578136200493002,estrecho
4,10,4,0.9897467022041456,estrecho
4,10,8,0.9952191285647481,estrecho
4,11,4,0.9966997653047003,estrecho
4,11,8,0.9935864785673684,estrecho
5,0,4,1.0274094808766285,estrecho
5,0,8,1.031555488150586,estrecho
5,1,4,1.0184439830439107,estrecho
5,1,8,1.016103356754647,estrecho
5,2,4,1.0246211016732218,estrecho
5,2,8,1.0267704755324367,estrecho
5,3,4,1.0035896134150946,estrecho
5,3,8,1.009636210634516,estrecho
5,4,4,1.0167239922076245,estrecho
5,4,8,1.0211881889840377,estrecho
5,5,4,0.9904406731810309,estrecho
5,5,8,0.9996319963387122,estrecho
5,6,4,1.0214626302600582,estrecho
5,6,8,1.0218586522858688,estrecho
5,7,4,0.9860554038141448,estrecho
5,7,8,0.988057600346751,estrecho
5,8,4,0.9975915040424143,estrecho
5,8,8,0.9943581028919052,estrecho
5,9,4,1.024715706071827,estrecho
5,9,8,1.024569750213748,estrecho
5,10,4,1.0024440478723249,estrecho
5,10,8,1.008129603689763,estrecho
5,11,4,1.0118446746501077,estrecho
5,11,8,1.0219191087516957,estrecho
6,0,4,0.9911468252508175,estrecho
6,0,8,0.996829908994388,estrecho
6,1,4,1.046684550908183,estrecho
6,1,8,1.0352805816268589,estrecho
6,2,4,0.9696752438626646,estrecho
6,2,8,0.9766777055222461,estrecho
6,3,4,1.0393849363736556,estrecho
6,3,8,1.035926428685862,estrecho
6,4,4,1.0069388623548057,estrecho
6,4,8,1.0098735534385317,estrecho
6,5,4,1.016795778906772,estrecho
6,5,8,1.0170155132493623,estrecho
6,6,4,1.0185394197010098,estrecho
6,6,8,1.0215128778756204,estrecho
6,7,4,1.0061549569842663,estrecho
6,7,8,1.0031979313531016,estrecho
6,8,4,1.0622785779029444,estrecho
6,8,8,1.0514110940699193,estrecho
6,9,4,0.9975681585649364,estrecho
6,9,8,1.0080122437072323,estrecho
6,10,4,1.0182114632903798,estrecho
6,10,8,1.0280870092390781,estrecho
6,11,4,1.008235412451475,estrecho
6,11,8,1.0049437790180145,estrecho
7,0,4,1.0095052868567487,estrecho
7,0,8,1.0085097324863797,estrecho
7,1,4,1.0159498752020326,estrecho
7,1,8,1.014346956046381,estrecho
7,2,4,0.9916770354332605,estrecho
7,2,8,0.9919189643692854,estrecho
7,3,4,1.0186516745752583,estrecho
7,3,8,1.0287021697365146,estrecho
7,4,4,0.9989955226617591,estrecho
7,4,8,0.9982359513671691,estrecho
7,5,4,1.0081346389647432,estrecho
7,5,8,1.008659478839357,estrecho
7,6,4,0.9989711320506184,estrecho
7,6,8,0.9973982892064212,estrecho
7,7,4,1.0115789371659643,estrecho
7,7,8,1.006138818052476,estrecho
7,8,4,1.0236320038642848,estrecho
7,8,8,1.0291210508306392,estrecho
7,9,4,1.021375495687596,estrecho
7,9,8,1.0170395217297825,estrecho
7,10,4,1.0178911014335341,estrecho
7,10,8,1.0248682971271617,estrecho
7,11,4,1.0321507328428425,estrecho
7,11,8,1.035904121383274,estrecho
8,0,4,1.0136262114801537,estrecho
8,0,8,1.0157767664768944,estrecho
8,1,4,0.9993892394959883,estrecho
8,1,8,0.9995289265216567,estrecho
8,2,4,1.0367453694817559,estrecho
8,2,8,1.0331244117754166,estrecho
8,3,4,1.0123234635498224,estrecho
8,3,8,1.0100812469729026,estrecho
8,4,4,1.0233141709001288,estrecho
8,4,8,1.0248911918684338,estrecho
8,5,4,1.0202243650704075,estrecho
8,5,8,1.0181776701786245,estrecho
8,6,4,1.0105321628803896,estrecho
8,6,8,1.0073765614885992,estrecho
8,7,4,1.0297151644832205,estrecho
8,7,8,1.0275556664696988,estrecho
8,8,4,1.0532246420980607,estrecho
8,8,8,1.0642788467587583,estrecho
8,9,4,1.034674523707527,estrecho
8,9,8,1.0335618268977962,estrecho
8,10,4,1.0126997044738784,estrecho
8,10,8,1.0139278125999887,estrecho
8,11,4,1.0263140524671972,estrecho
8,11,8,1.0268516552049314,estrecho
9,0,4,1.0406489851930028,estrecho
9,0,8,1.0369404567978495,estrecho
9,1,4,1.0022011557431427,estrecho
9,1,8,1.0030002080939329,estrecho
9,2,4,1.019252020485624,estrecho
9,2,8,1.0204842425441893,estrecho
9,3,4,1.0009566543280346,estrecho
9,3,8,0.9995907653283408,estrecho
9,4,4,1.019591217147247,estrecho
9,4,8,1.0197610391453436,estrecho
9,5,4,1.0259062860727357,estrecho
9,5,8,1.0186337345638612,estrecho
9,6,4,1.003098019656366,estrecho
9,6,8,1.0033457073139338,estrecho
9,7,4,1.0199539368740551,estrecho
9,7,8,1.016432823285227,estrecho
9,8,4,1.0168345414263462,estrecho
9,8,8,1.0146809597314572,estrecho
9,9,4,0.9934976064530415,estrecho
9,9,8,0.9929251099066612,estrecho
9,10,4,1.0211216279811746,estrecho
9,10,8,1.0195846611057005,estrecho
9,11,4,1.0318242468265038,estrecho
9,11,8,1.0275539119393564,estrecho
10,0,4,0.9910144265232868,estrecho
10,0,8,0.9939323979899544,estrecho
10,1,4,0.9889211600864165,estrecho
10,1,8,0.9894440471018356,estrecho
10,2,4,1.0167524495013882,estrecho
10,2,8,1.0155262154310079,estrecho
10,3,4,1.004527341353162,estrecho
10,3,8,1.005077596901333,estrecho
10,4,4,1.014517039054537,estrecho
10,4,8,1.0174448270956087,estrecho
10,5,4,1.0073510468264026,estrecho
10,5,8,1.0082390338774738,estrecho
10,6,4,1.0193122146458,estrecho
10,6,8,1.0187177569841241,estrecho
10,7,4,1.0140407112217766,estrecho
10,7,8,1.016637691611326,estrecho
10,8,4,1.0021390666033176,estrecho
10,8,8,1.0051703186888628,estrecho
10,9,4,1.0136840824963356,estrecho
10,9,8,1.0142806824207522,estrecho
10,10,4,1.0154290962687664,estrecho
10,10,8,1.0136516302005818,estrecho
10,11,4,1.0203933994445196,estrecho
10,11,8,1.0251800095397212,estrecho
11,0,4,1.0034947770601492,estrecho
11,0,8,1.0043776024633784,estrecho
11,1,4,1.02065138378743,estrecho
11,1,8,1.0194067106893558,estrecho
11,2,4,0.9950527217913401,estrecho
11,2,8,0.9970208615400938,estrecho
11,3,4,1.0044538887058876,estrecho
11,3,8,1.0113000391403408,estrecho
11,4,4,1.003251272706102,estrecho
11,4,8,1.0028208139912183,estrecho
11,5,4,1.0096367363944225,estrecho
11,5,8,1.0040979143873983,estrecho
11,6,4,1.0153631280602098,estrecho
11,6,8,1.013663010811561,estrecho
11,7,4,1.030385374207089,estrecho
11,7,8,1.0319900447787675,estrecho
11,8,4,1.005964996133638,estrecho
11,8,8,0.9968877727225096,estrecho
11,9,4,1.018743834098445,estrecho
11,9,8,1.0259816736943128,estrecho
11,10,4,1.0102876644084635,estrecho
11,10,8,1.0081996808187212,estrecho
11,11,4,1.01598677633117,estrecho
11,11,8,1.0178239305659196,estrecho
