capa,cabeza,bits,ph_mejor,comp_unico,comp_min_por_cabeza,muestra_compartida,mejora_relativa,mejora_implementacion_vieja
0,0,4,0.1742167913401382,0.1769191627550453,0.173702674714111,15,0.015274611143444522,-0.0029597507745541133
0,0,8,0.0095817879580821,0.009807864748517,0.0095805145478151,18,0.02305056158824827,-0.00013291668841410557
0,1,4,0.1542166931726899,0.1603031075555939,0.1543197833072078,15,0.03796816216300236,0.000668029285089606
0,1,8,0.0084829407703374,0.0084980458648326,0.0084980458648326,18,0.0017774785798356921,0.0017774785798356921
0,2,4,0.1673127156069568,0.169048337708968,0.1668644324643294,15,0.010267016674243954,-0.0026865110557531976
0,2,8,0.0091752548571415,0.0092476889226655,0.0091253466673166,18,0.007832666748388296,-0.005469182886349939
0,3,4,0.1645797771873449,0.167642847688887,0.1652193314253535,15,0.018271405811636884,0.003870940721591962
0,3,8,0.0090596273392359,0.0092123314494866,0.0091109750433861,18,0.01657605472490999,0.005635807792874465
0,4,4,0.1707732849541171,0.1719400533322257,0.1696158419711784,15,0.00678590215308449,-0.006823908483355932
0,4,8,0.0093593367023045,0.0094750175916366,0.0092907931790882,18,0.012209042169400122,-0.007377574970733316
0,5,4,0.1674878342309056,0.16716596014886,0.1665133309752437,15,-0.0019254762258953072,-0.0058524038282963655
0,5,8,0.0091401201019304,0.0093009702247345,0.0091438576230887,18,0.017293907938372346,0.0004087466485549051
0,6,4,0.1724057945840115,0.1751798643762256,0.1724822337575464,15,0.01583555166052846,0.0004431712870923324
0,6,8,0.0094459774845611,0.0096522721016311,0.009478922295962,18,0.021372648315119255,0.0034755861871485156
0,7,4,0.172745924835042,0.1766637668856726,0.1728674200796927,15,0.022176828444771063,0.0007028232653363946
0,7,8,0.0094585461239309,0.0096997181225493,0.0094722273168164,18,0.024863815171879917,0.001444348032189881
0,8,4,0.1693624564127879,0.1709333668558102,0.1692534800982021,15,0.009190191897100032,-0.0006438645428299827
0,8,8,0.009264407654312,0.009381128528964,0.0092823180413836,18,0.012442093111892462,0.0019295166349342456
0,9,4,0.1732208678236848,0.1724321957871543,0.1720123455803077,15,-0.004573809623720194,-0.0070257878252864185
0,9,8,0.0094733562161943,0.0094603295131338,0.0094374714306454,18,-0.0013769819584419855,-0.0038023728932704273
0,10,4,0.1760802224339551,0.1822602066187741,0.1780322054679303,15,0.03390747930921313,0.010964213069454004
0,10,8,0.0096682049875304,0.0098748682548579,0.0098035830663527,18,0.020928205014364046,0.013809040827831437
0,11,4,0.1792161325792077,0.1825494425148509,0.1777674510002779,15,0.018259765079107305,-0.008149307259446136
0,11,8,0.0098368844027349,0.0099181170087974,0.0097621459156116,18,0.008190325440851904,-0.007655948576201669
0,12,4,0.1702131614248104,0.172606674833005,0.1698161911380357,15,0.013866864711404121,-0.002337646864615123
0,12,8,0.0093471298541035,0.0095394115619512,0.009362082884771,18,0.02015655856747312,0.0015971905879858474
0,13,4,0.1634265703580522,0.1656621374849929,0.1649433394731009,15,0.013494737909820937,0.009195697867485277
0,13,8,0.0089522202056764,0.0092182649554952,0.0090332514012097,18,0.028860610006680918,0.008970324408600952
0,14,4,0.1723469326306378,0.1773296058867338,0.1743906890666321,15,0.028098372131264954,0.011719412584082484
0,14,8,0.0094798319475303,0.0097707247721739,0.0095665789170276,18,0.029771877872564214,0.009067710646582258
0,15,4,0.1719379486219892,0.1737673638503611,0.1733858430326058,15,0.010527956388561533,0.008350707216299776
0,15,8,0.0094469757581606,0.0096335306089985,0.0094912734691121,18,0.01936515888200355,0.004667204152915795
1,0,4,0.1697282475027296,0.172553305700728,0.16901854888493,13,0.016372089694404898,-0.004198939243542848
1,0,8,0.0093306025618392,0.0094999876090158,0.0092971271076345,13,0.01783002822191545,-0.003600623484776362
1,1,4,0.1769448308132062,0.1774549361166046,0.1755671960562833,13,0.0028745624920977868,-0.007846766297282894
1,1,8,0.0097302021306423,0.0097684095946623,0.0096751201512293,13,0.003911329029536078,-0.005693157144513626
1,2,4,0.1743002971592816,0.1765513104233809,0.1736229424468324,13,0.012749909693115423,-0.0039012972761743423
1,2,8,0.0095957196706048,0.0097222944960695,0.0095685127915225,13,0.013019028123029205,-0.00284337594306242
1,3,4,0.1752729134471656,0.1776957872665734,0.1759585353573042,13,0.013634953628771557,0.003896497028384363
1,3,8,0.0096343776411503,0.009741998036726,0.0096286235412654,13,0.011047055765150613,-0.0005976035785634907
1,4,4,0.1685467527712825,0.1684603381631558,0.1677036419945093,13,-0.000512967082156758,-0.00502738501529271
1,4,8,0.0092564076829609,0.009218589332802,0.0092044409073812,13,-0.00410240100666307,-0.005645837276007565
1,5,4,0.1739629093848623,0.1756748005873225,0.1733791952831431,13,0.009744660000961565,-0.003366690569568894
