capa,cabeza,bits,ratio_q2,veredicto
2,9,8,1.0335011093722046,cerca
2,10,4,1.0132870385316346,cerca
2,10,8,1.0074097290938728,cerca
2,11,4,1.0331574166484452,cerca
2,11,8,1.025119938725886,cerca
2,12,4,1.0360634459386335,cerca
2,12,8,1.0247165688117696,cerca
2,13,4,1.0157194053719054,cerca
2,13,8,1.01664769785197,cerca
2,14,4,1.0540781134501525,cerca
2,14,8,1.0544128926702403,cerca
2,15,4,1.007434691295194,cerca
2,15,8,1.008170193743721,cerca
3,0,4,1.0285197805541988,cerca
3,0,8,1.0324624170919348,cerca
3,1,4,1.053973358758222,cerca
3,1,8,1.0574202198928309,cerca
3,2,4,1.0281817870963113,cerca
3,2,8,1.026727834005043,cerca
3,3,4,1.0030308627240607,cerca
3,3,8,1.0064831999151698,cerca
3,4,4,1.0357771691285427,cerca
3,4,8,1.0336317411091993,cerca
3,5,4,1.0096466516707445,cerca
3,5,8,1.011906566279761,cerca
3,6,4,1.0127797055671965,cerca
3,6,8,1.0118229696486354,cerca
3,7,4,1.0209441557692571,cerca
3,7,8,1.0191308880698235,cerca
3,8,4,1.0181077736708968,cerca
3,8,8,1.01848723015097,cerca
3,9,4,1.0326010674767245,cerca
3,9,8,1.0311503368509891,cerca
3,10,4,1.030147666357129,cerca
3,10,8,1.030353651153725,cerca
3,11,4,1.0328773671686042,cerca
3,11,8,1.027365581089438,cerca
3,12,4,1.0305924160030056,cerca
3,12,8,1.036733985334516,cerca
3,13,4,1.0122084741673407,cerca
3,13,8,1.0152795630917408,cerca
3,14,4,1.0357363110841489,cerca
3,14,8,1.0362246338354355,cerca
3,15,4,1.011584727757076,cerca
3,15,8,1.0068912708193776,cerca
4,0,4,1.0302668750243626,cerca
4,0,8,1.0328066153531739,cerca
4,1,4,1.0207770040790076,cerca
4,1,8,1.0127111485798301,cerca
4,2,4,1.0288764074232226,cerca
4,2,8,1.0315140685940758,cerca
4,3,4,1.0257560024052326,cerca
4,3,8,1.0257089180247145,cerca
4,4,4,1.0191198809917272,cerca
4,4,8,1.0218980690133628,cerca
4,5,4,1.04743270483708,cerca
4,5,8,1.048049149175859,cerca
4,6,4,1.0227188273844279,cerca
4,6,8,1.0228429074417271,cerca
4,7,4,1.0209481482735263,cerca
4,7,8,1.022981533113198,cerca
4,8,4,1.0069444942283388,cerca
4,8,8,1.0083940126481936,cerca
4,9,4,1.0141031289999753,cerca
4,9,8,1.0150290613533288,cerca
4,10,4,1.0185616265686261,cerca
4,10,8,1.0211312740921776,cerca
4,11,4,1.0392669614402297,cerca
4,11,8,1.0332775416663855,cerca
4,12,4,1.0509154268525063,cerca
4,12,8,1.046359649471505,cerca
4,13,4,1.0284910520387465,cerca
4,13,8,1.0289170821010012,cerca
4,14,4,1.0105339460644414,cerca
4,14,8,1.0143384134696434,cerca
4,15,4,1.0290040562427687,cerca
4,15,8,1.034477477875073,cerca
5,0,4,1.0353849084321638,cerca
5,0,8,1.0407081191207272,cerca
5,1,4,1.0176927959399609,cerca
5,1,8,1.0167603775619105,cerca
5,2,4,1.0227773968985954,cerca
5,2,8,1.0139010842613279,cerca
5,3,4,1.0299647479150211,cerca
5,3,8,1.0275360013255912,cerca
5,4,4,1.0224629044105822,cerca
5,4,8,1.0223572464798882,cerca
5,5,4,1.0243416442883513,cerca
5,5,8,1.0262465815669222,cerca
5,6,4,1.018233487329495,cerca
5,6,8,1.016207230242853,cerca
5,7,4,1.0119071737866807,cerca
5,7,8,1.0131946690004614,cerca
5,8,4,1.008463039207053,cerca
