capa,cabeza,bits,ratio_q1,veredicto
0,0,4,1.0248253757184078,estrecho
0,0,8,1.0221022050308373,estrecho
0,1,4,0.9939767906656508,estrecho
0,1,8,0.9906929021964919,estrecho
0,2,4,0.9986857025525759,estrecho
0,2,8,1.0021100372118994,estrecho
0,3,4,0.9707442311396284,estrecho
0,3,8,0.9842990296732654,estrecho
0,4,4,1.0080260535058685,estrecho
0,4,8,1.0043153767769433,estrecho
0,5,4,1.0164023754342502,estrecho
0,5,8,1.0114937537646238,estrecho
0,6,4,1.0097182851354956,estrecho
0,6,8,1.003609199751824,estrecho
0,7,4,1.0276580241176272,estrecho
0,7,8,1.0243287060042787,estrecho
0,8,4,1.0220862845560221,estrecho
0,8,8,1.024892213054294,estrecho
0,9,4,1.014769543380935,estrecho
0,9,8,1.0238212597090175,estrecho
0,10,4,1.0004222464119925,estrecho
0,10,8,1.0031757436939763,estrecho
0,11,4,1.0245339437733445,estrecho
0,11,8,1.0296700048478806,estrecho
0,12,4,1.0161962543124212,estrecho
0,12,8,1.0172408167703602,estrecho
0,13,4,0.9727905269498809,estrecho
0,13,8,0.9661035220510377,estrecho
0,14,4,1.0218672630054406,estrecho
0,14,8,1.0229641631263826,estrecho
0,15,4,1.0142739642521517,estrecho
0,15,8,1.018309590808524,estrecho
1,0,4,1.0180557131600765,estrecho
1,0,8,1.0129016383331249,estrecho
1,1,4,1.0165059326231056,estrecho
1,1,8,1.016136789508733,estrecho
1,2,4,1.0290056868618813,estrecho
1,2,8,1.031266885707401,estrecho
1,3,4,1.0249639956885321,estrecho
1,3,8,1.020114935946866,estrecho
1,4,4,1.014613385823301,estrecho
1,4,8,1.0175173269443474,estrecho
1,5,4,1.0182268468867273,estrecho
1,5,8,1.0215496176501875,estrecho
1,6,4,1.0227860309277452,estrecho
1,6,8,1.0260259363046158,estrecho
1,7,4,1.0193313796538386,estrecho
1,7,8,1.0171607323357246,estrecho
1,8,4,1.0047052803058312,estrecho
1,8,8,1.0018535406333615,estrecho
1,9,4,1.0294282001030954,estrecho
1,9,8,1.026797916109816,estrecho
1,10,4,1.0056736093032514,estrecho
1,10,8,1.0035455867680863,estrecho
1,11,4,1.006514914818875,estrecho
1,11,8,1.0050345292210214,estrecho
1,12,4,1.0114867341284315,estrecho
1,12,8,1.0089863909477237,estrecho
1,13,4,1.02414622348495,estrecho
1,13,8,1.0294587586651822,estrecho
1,14,4,0.9752703233160841,estrecho
1,14,8,0.9801952109704583,estrecho
1,15,4,1.0032708197339362,estrecho
1,15,8,1.012234847466966,estrecho
2,0,4,1.027553382164373,estrecho
2,0,8,1.0315323558818976,estrecho
2,1,4,1.0160478765927263,estrecho
2,1,8,1.0162304426757742,estrecho
2,2,4,1.0076178520903776,estrecho
2,2,8,1.0105448370943266,estrecho
2,3,4,1.0051746498139398,estrecho
2,3,8,1.0079205885512574,estrecho
2,4,4,1.0065051080662941,estrecho
2,4,8,1.010206798229261,estrecho
2,5,4,1.009891670856128,estrecho
2,5,8,1.0034152044001514,estrecho
2,6,4,1.0180364171320582,estrecho
2,6,8,1.0081008933711193,estrecho
2,7,4,1.0071038526958647,estrecho
2,7,8,1.0105816239417285,estrecho
2,8,4,1.006256684890459,estrecho
2,8,8,1.000995975713145,estrecho
2,9,4,1.0030973057246126,estrecho
2,9,8,1.00549987294676,estrecho
2,10,4,1.0211263491715832,estrecho
2,10,8,1.0238246104200006,estrecho
2,11,4,1.0058475480561315,estrecho
2,11,8,1.009608500526411,estrecho
2,12,4,1.0087064875890512,estrecho
2,12,8,1.0143963653782937,estrecho
2,13,4,1.0278932316773268,estrecho
2,13,8,1.027302855968727,estrecho
2,14,4,0.9874849811997609,estrecho
2,14,8,0.9859925854627439,estrecho
2,15,4,1.0381315642939761,estrecho
2,15,8,1.0392143788268917,estrecho
3,0,4,1.0127122979922218,estrecho
3,0,8,1.01035624349604,estrecho
3,1,4,0.9932463063190482,estrecho
3,1,8,0.9905341583072819,estrecho
3,2,4,1.0176767182524058,estrecho
3,2,8,1.0173430991858572,estrecho
3,3,4,1.0286679184147416,estrecho
3,3,8,1.024220643946059,estrecho
3,4,4,1.0057332565986514,estrecho
3,4,8,1.0094235486995025,estrecho
3,5,4,1.0305475513223117,estrecho
3,5,8,1.0308175680134872,estrecho
3,6,4,1.020151495044972,estrecho
3,6,8,1.0197124563906272,estrecho
3,7,4,1.0220946129798771,estrecho
3,7,8,1.0260153810956343,estrecho
3,8,4,1.0269038085558702,estrecho
3,8,8,1.022310655390355,estrecho
3,9,4,1.008512448596346,estrecho
3,9,8,1.0066827712672977,estrecho
3,10,4,1.0144464517140352,estrecho
3,10,8,1.0160534948363822,estrecho
3,11,4,1.0177401354889228,estrecho
3,11,8,1.020019233233649,estrecho
3,12,4,1.0172242686201196,estrecho
3,12,8,1.010663789084724,estrecho
3,13,4,1.0274497365240252,estrecho
3,13,8,1.0273972878411506,estrecho
3,14,4,0.9973904044779036,estrecho
3,14,8,1.0010484979478143,estrecho
3,15,4,1.0370919230254176,estrecho
3,15,8,1.0407297617867897,estrecho
4,0,4,1.0094705424880637,estrecho
4,0,8,1.0087110040030507,estrecho
4,1,4,1.0186722133941721,estrecho
4,1,8,1.019173013628734,estrecho
4,2,4,1.0203200823538017,estrecho
4,2,8,1.0166096659684503,estrecho
4,3,4,1.017864575231111,estrecho
4,3,8,1.0177438253469548,estrecho
4,4,4,1.022541036400755,estrecho
4,4,8,1.0251159251818585,estrecho
4,5,4,1.0004041660663967,estrecho
4,5,8,0.9992961439873258,estrecho
4,6,4,1.0302584446255347,estrecho
4,6,8,1.0299529844328517,estrecho
4,7,4,1.0231442586023687,estrecho
4,7,8,1.0202773023505851,estrecho
4,8,4,1.033838715671551,estrecho
4,8,8,1.0320528332680068,estrecho
4,9,4,1.0237525980650928,estrecho
4,9,8,1.020376355003778,estrecho
4,10,4,1.017932818669786,estrecho
4,10,8,1.0165929972837138,estrecho
4,11,4,1.0044291630711315,estrecho
4,11,8,1.0058239283378423,estrecho
4,12,4,1.0033649302516086,estrecho
4,12,8,1.0085549487791323,estrecho
4,13,4,1.0075124060261638,estrecho
4,13,8,1.0110302279243457,estrecho
4,14,4,1.0268231938180787,estrecho
4,14,8,1.0288154348912901,estrecho
4,15,4,1.0087343882850242,estrecho
4,15,8,1.0037239524071577,estrecho
