capa,cabeza,bits,ratio_q2,veredicto
0,0,4,1.3924876626603557,entremedias
0,0,8,1.4266328083101818,entremedias
0,1,4,1.0261151042068144,cerca
0,1,8,1.0342698078303771,cerca
0,2,4,1.1339593374201526,entremedias
0,2,8,1.1411807137448333,entremedias
0,3,4,1.4217188587918304,entremedias
0,3,8,1.440864320468645,entremedias
0,4,4,1.2140974269116902,entremedias
0,4,8,1.2403442374843154,entremedias
0,5,4,1.200210667661718,entremedias
0,5,8,1.2120936751581648,entremedias
0,6,4,1.4114276843444078,entremedias
0,6,8,1.4070266541331349,entremedias
0,7,4,1.213890386083585,entremedias
0,7,8,1.2202246643386436,entremedias
0,8,4,1.125338029948449,entremedias
0,8,8,1.1459852317640955,entremedias
0,9,4,1.2504704658520154,entremedias
0,9,8,1.2507694210933502,entremedias
0,10,4,1.2850013630652115,entremedias
0,10,8,1.269651454073628,entremedias
0,11,4,1.2835215961182203,entremedias
0,11,8,1.3135708003626954,entremedias
1,0,4,1.1260664509862488,entremedias
1,0,8,1.1282479324495507,entremedias
1,1,4,1.0837024804806294,cerca
1,1,8,1.093465350328854,cerca
1,2,4,1.2068016916587674,entremedias
1,2,8,1.206305957846998,entremedias
1,3,4,1.1538474912506242,entremedias
1,3,8,1.1439838645114293,entremedias
1,4,4,1.1306462572074947,entremedias
1,4,8,1.1329121435067735,entremedias
1,5,4,1.3127714679193714,entremedias
1,5,8,1.3047165549268194,entremedias
1,6,4,1.1245814315359968,entremedias
1,6,8,1.1334024660372988,entremedias
1,7,4,1.2380669187799163,entremedias
1,7,8,1.248626459057221,entremedias
1,8,4,1.0906422293993718,cerca
1,8,8,1.0956563076064376,cerca
1,9,4,1.0920515306484204,cerca
1,9,8,1.0906693280358113,cerca
1,10,4,1.2201238743304939,entremedias
1,10,8,1.2184922447452549,entremedias
1,11,4,1.143319034322482,entremedias
1,11,8,1.1458215153473221,entremedias
2,0,4,1.0260623444659687,cerca
2,0,8,1.032631915720268,cerca
2,1,4,1.0791180260811504,cerca
2,1,8,1.0846306402506165,cerca
2,2,4,1.0396340846530225,cerca
2,2,8,1.0431033693552587,cerca
2,3,4,1.155038326373848,entremedias
2,3,8,1.1565879153228997,entremedias
2,4,4,1.0439723665448446,cerca
2,4,8,1.053253777427439,cerca
2,5,4,1.101743640521813,entremedias
2,5,8,1.0979686124803976,cerca
2,6,4,1.1796513450066197,entremedias
2,6,8,1.1840843244425492,entremedias
2,7,4,1.0925554327142375,cerca
2,7,8,1.0824149825623615,cerca
2,8,4,1.0928327016972745,cerca
2,8,8,1.0996633315964055,cerca
2,9,4,1.050239708920491,cerca
2,9,8,1.0484964225420716,cerca
2,10,4,1.0849626735961735,cerca
2,10,8,1.0862564150654024,cerca
2,11,4,1.0509109096337277,cerca
2,11,8,1.0498285639347131,cerca
3,0,4,1.0996318922812387,cerca
3,0,8,1.0972999997844857,cerca
3,1,4,1.1474582356608942,entremedias
3,1,8,1.1447312198895667,entremedias
3,2,4,1.04041639536997,cerca
3,2,8,1.0432708550709875,cerca
3,3,4,1.0676328690899664,cerca
3,3,8,1.0682008051437466,cerca
3,4,4,1.066380886386093,cerca
3,4,8,1.0659189724583673,cerca
3,5,4,1.0496457842173734,cerca
3,5,8,1.0547325215406969,cerca
3,6,4,1.0545321956350329,cerca
3,6,8,1.058740162555056,cerca
3,7,4,1.0519174873956403,cerca
3,7,8,1.0456313126741643,cerca
3,8,4,1.1155081391400214,entremedias
3,8,8,1.1143552426463499,entremedias
3,9,4,1.0278020009529214,cerca
3,9,8,1.028146691758572,cerca
3,10,4,1.0490342933678198,cerca
3,10,8,1.0505624550868777,cerca
3,11,4,1.0543861727615034,cerca
3,11,8,1.0579020563861858,cerca
4,0,4,1.0588617763921544,cerca
4,0,8,1.053495548932894,cerca
4,1,4,1.05757466258752,cerca
4,1,8,1.0508028678740926,cerca
4,2,4,1.032107911815115,cerca
4,2,8,1.0363384061965442,cerca
4,3,4,1.0470998666535416,cerca
4,3,8,1.0387782934542025,cerca
4,4,4,1.088349707825647,cerca
4,4,8,1.0727168473504263,cerca
4,5,4,1.0305288675480846,cerca
4,5,8,1.0337524465509589,cerca
4,6,4,1.031104835493877,cerca
4,6,8,1.034149438617672,cerca
4,7,4,1.0745790479778918,cerca
4,7,8,1.078337634008163,cerca
4,8,4,1.0332397359439534,cerca
4,8,8,1.0394325453570668,cerca
4,9,4,1.1384596552271398,entremedias
4,9,8,1.1269254033140232,entremedias
4,10,4,1.0491908504715113,cerca
4,10,8,1.0513927026114145,cerca
4,11,4,1.0456342114395267,cerca
4,11,8,1.0534320057469337,cerca
5,0,4,1.0178732570389586,cerca
5,0,8,1.017030199113115,cerca
5,1,4,1.0310610002886376,cerca
5,1,8,1.0393712430018793,cerca
5,2,4,1.0209456106979442,cerca
5,2,8,1.0254442965441473,cerca
5,3,4,1.0387767902877454,cerca
5,3,8,1.0375340371154222,cerca
5,4,4,1.027899704942736,cerca
5,4,8,1.0248575244596438,cerca
5,5,4,1.0432804030488743,cerca
5,5,8,1.038366497879585,cerca
5,6,4,1.0239846413403797,cerca
5,6,8,1.021634222147321,cerca
5,7,4,1.0551720608594704,cerca
5,7,8,1.0552793358040689,cerca
5,8,4,1.0457850799327768,cerca
5,8,8,1.053440440701696,cerca
5,9,4,1.0137214466800952,cerca
5,9,8,1.015299242042886,cerca
5,10,4,1.0340255140943146,cerca
5,10,8,1.032402218251586,cerca
5,11,4,1.0540247824447728,cerca
5,11,8,1.047165338886681,cerca
6,0,4,1.0435468624660933,cerca
6,0,8,1.0387275726425702,cerca
6,1,4,1.0063433673319215,cerca
6,1,8,1.0186109983491658,cerca
6,2,4,1.0718137153587521,cerca
6,2,8,1.0718660444587875,cerca
6,3,4,1.0133188062618192,cerca
6,3,8,1.0196704612113396,cerca
6,4,4,1.0377909832974943,cerca
6,4,8,1.0331396706925062,cerca
6,5,4,1.0261968991775747,cerca
6,5,8,1.0233459284004411,cerca
6,6,4,1.0212336342068595,cerca
6,6,8,1.0164147321453076,cerca
6,7,4,1.035029216146636,cerca
6,7,8,1.0347308504870565,cerca
6,8,4,1.002979470247493,cerca
6,8,8,1.0062263023729463,cerca
6,9,4,1.0428599066293356,cerca
6,9,8,1.0375089041466667,cerca
6,10,4,1.0450409756294443,cerca
6,10,8,1.0399463465146777,cerca
6,11,4,1.0301205271792335,cerca
6,11,8,1.0361383539637088,cerca
