exponente,r2,separacion,n,bits,variable
0.7137174877606843,0.9769262985706753,0.1672269038916478,354816,4,kappa
0.9979017704633673,0.9993486549098874,0.003283909627408135,371712,4,producto
0.713741296422274,0.9768956713007875,0.16710492140973934,354816,8,kappa
0.9979371345929707,0.9993203038201376,0.003412380507849435,371712,8,producto
