capa,cabeza,bits,ph_mejor,comp_unico,comp_min_por_cabeza,muestra_compartida,mejora_relativa,mejora_implementacion_vieja
0,0,4,0.1659716199322131,0.1699874333281355,0.1637241816346054,29,0.023624178077743436,-0.013726978355729214
0,0,8,0.0091149297025199,0.0092131390524867,0.0091075063969326,9,0.01065970560167452,-0.000815075528225993
0,1,4,0.1989936572961472,0.2002327179686469,0.198422557173632,29,0.006188102948758341,-0.002878201604948894
0,1,8,0.0109338986937167,0.0112703843954958,0.0108436916491081,9,0.029855743155803742,-0.008318850030747556
0,2,4,0.2420549809598069,0.2455496114257991,0.238507514182366,29,0.01423187129354593,-0.014873605930622699
0,2,8,0.0132787729686939,0.0137682392508524,0.013123248157451,9,0.03555039052130037,-0.011851091237240484
0,3,4,0.1246713320105898,0.1308367003844861,0.12464503580865,29,0.04712262198433859,-0.00021096870620805193
0,3,8,0.0068449011899733,0.0070100421445015,0.0068538400149024,9,0.02355776914376086,0.0013042068256138037
0,4,4,0.1797389736478594,0.1821046216495188,0.1772766176233807,29,0.012990598372689044,-0.013889908649486438
0,4,8,0.0098269917144864,0.0101110898823169,0.009700981225164,9,0.02809767998673947,-0.012989458117446371
0,5,4,0.1759438920211803,0.1806634230488216,0.1777528855890616,29,0.026123334474659664,0.010177013790163902
0,5,8,0.0096986493195769,0.0101552294303273,0.009725867321251,9,0.04496009803450443,0.002798516654101331
0,6,4,0.1363606424848814,0.141295773517476,0.137285838511315,29,0.03492766209305056,0.006739194926921529
0,6,8,0.0075467878214697,0.0076488130981893,0.00755042576668,9,0.013338706987591726,0.0004818198764836287
0,7,4,0.1244412542559285,0.1283022113313044,0.1238239393850175,29,0.030092677556476884,-0.004985424256221798
0,7,8,0.0068781895214073,0.0067556412845377,0.0067556412845377,9,-0.018140133809367253,-0.018140133809367253
0,8,4,0.1994897985056211,0.2085900440804092,0.2006117374166018,29,0.043627420545920524,0.005592588576464068
0,8,8,0.0110273862479652,0.0113098975381281,0.0110504640617459,9,0.024979120209576915,0.0020884022292411092
0,9,4,0.1962084196959158,0.1986148803500877,0.1951303583316214,29,0.0121162153104046,-0.005524826446852728
0,9,8,0.0108026009840563,0.0108623440368676,0.0107999442568483,9,0.0055000147858075,-0.0002459945296769431
0,10,4,0.1502315616991171,0.1567927841171439,0.1508102414464086,29,0.041846456486956236,0.003837138258923317
0,10,8,0.0082699688823101,0.0084082117810077,0.0082692505359172,9,0.01644141492842265,-8.68695886985898e-05
0,11,4,0.1734067953096971,0.1717183879242208,0.1717183879242208,29,-0.009832420429088733,-0.009832420429088733
0,11,8,0.0095323465821702,0.0097110259703302,0.0094065933571419,9,0.01839964064620089,-0.013368625628195322
1,0,4,0.1927630208038505,0.1955031377418186,0.1913099739195453,17,0.014015718466814096,-0.007595248980151299
1,0,8,0.0105728206598672,0.0107650515212916,0.0105334927668936,17,0.017856938356885482,-0.003733604213144403
1,1,4,0.1747330116942317,0.176110590411059,0.176110590411059,17,0.007822236661701659,0.007822236661701659
1,1,8,0.009567386838128,0.0096523586151844,0.0096523586151844,17,0.008803213851040333,0.008803213851040333
1,2,4,0.184278229066405,0.1871331738675219,0.1836026357798283,17,0.01525621963285894,-0.003679649171196341
1,2,8,0.0101296096462823,0.010310259486638,0.0101142284863106,17,0.01752136700243289,-0.0015207447599702973
1,3,4,0.1634708145460169,0.1661152903923055,0.162591286040506,17,0.015919520954653158,-0.005409444300057917
1,3,8,0.0089951861513472,0.0090564660531841,0.0089451061188135,17,0.006766425389002171,-0.005598595686681652
1,4,4,0.1456513519624909,0.146612093158963,0.1449893739487169,17,0.006552946457359608,-0.004565700200955144
1,4,8,0.0079558377493795,0.0080845683479658,0.0079439534081556,17,0.0159230020757622,-0.001496023530513039
1,5,4,0.1774581126551029,0.1791408171747664,0.1791408171747664,17,0.009393194394228418,0.009393194394228418
1,5,8,0.0098158106904909,0.0099009523611622,0.0098153472835245,17,0.008599341514385994,-4.7212488057203885e-05
1,6,4,0.1725422484640511,0.1747031971564873,0.1712391031567602,17,0.012369256702844172,-0.007610091873104246
1,6,8,0.009484897719913,0.009585849440904,0.0093707711119949,17,0.010531327621340085,-0.012178998564164536
1,7,4,0.133052644074779,0.1348189931569559,0.1348189931569559,17,0.013101633833747192,0.013101633833747192
1,7,8,0.0072755997912092,0.0073474125189052,0.0073474125189052,17,0.009773879921839524,0.009773879921839524
1,8,4,0.1773342129529062,0.1790734163756262,0.1756299512698374,17,0.009712236790478435,-0.009703707543882178
1,8,8,0.009764544480559,0.0097795748603304,0.0096243664083647,17,0.0015369154575796667,-0.014564914327499961
1,9,4,0.1644794254063956,0.1664996307433644,0.1645030992631817,17,0.012133392296122696,0.0001439113116540211
1,9,8,0.0090703067799098,0.009098932898273,0.0090451840649054,17,0.0031460962162533483,-0.0027774686312768662
1,10,4,0.1518215603602969,0.1555952709212889,0.1529877658876276,17,0.02425337568839736,0.007622867884660204
1,10,8,0.0083047804033196,0.0085186339117946,0.0084016274849718,17,0.02510420223351844,0.011527181111687467
1,11,4,0.1744312329791936,0.1768296122164882,0.1714668889504406,17,0.013563221720796,-0.017288142608161496
1,11,8,0.0095983973102667,0.0097265746123908,0.009499565011783,17,0.013178051599050462,-0.01040387621550153
2,0,4,0.1563842097224884,0.1564651554324624,0.15621597145226,14,0.000517340169127529,-0.0010769594726095229
2,0,8,0.0086250582311309,0.0087770742323527,0.0085378646755408,30,0.01731966680439617,-0.010212571749923882
2,1,4,0.1801382452139427,0.1802856050553559,0.1790930929247389,14,0.0008173688707312849,-0.005835804564741101
2,1,8,0.0098519337862944,0.0100530087812776,0.0097969233766344,30,0.020001474121625788,-0.0056150699097228095
2,2,4,0.1726930048388595,0.1760289780129689,0.1725317921838323,14,0.01895127274932901,-0.0009343939049530146
2,2,8,0.009476107852045,0.0095933795392473,0.0094527864370977,30,0.012224230962877326,-0.002467147131958335
2,3,4,0.1500590731131335,0.1526724295524146,0.150131489340138,14,0.017117409128436775,0.00048235201903880305
2,3,8,0.0082108987934382,0.0083990117259035,0.0082587887069965,30,0.022397031770433014,0.005798660706470244
2,4,4,0.1779402157109708,0.1811609407719235,0.1776390084641878,14,0.017778253122495632,-0.0016956143213540408
2,4,8,0.009787914080818,0.0096933260768883,0.0096933260768883,30,-0.009758054477835546,-0.009758054477835546
2,5,4,0.1676400393773578,0.1703211572591653,0.166757036184702,14,0.015741543358162115,-0.0052951480360791305
