modelo,bits,celdas,p_bal_mediano,ratio_medido_mediano,ratio_sobre_ley_mediano,frac_e_bal_menor_que_ident,d_r_bal_mediano,cond_r_bal_mediano,l1_veredicto,l2_veredicto
pythia,4,384,0.9847366457736364,1.0271335226592333,1.041769533977278,0.078125,0.0892762916208825,1.6080524613400329,no_mejora,la_ley_extrapola
pythia,8,384,0.9847366457736364,1.02640826497751,1.0413919523841564,0.0833333333333333,0.0892762916208825,1.6080524613400329,no_mejora,la_ley_extrapola
vitb,4,144,0.9890165211715926,1.0660020779539539,1.0788678908917722,0.020833333333333332,0.07554527645254072,1.4451382721906487,no_mejora,la_ley_extrapola
vitb,8,144,0.9890165211715926,1.062734926947674,1.0779277756054269,0.020833333333333332,0.07554527645254072,1.4451382721906487,no_mejora,la_ley_extrapola
